GID	DOI	DOI_GLIS_url
85244	"10.18730/BFJP5"	"https://ssl.fao.org/glis/doi/10.18730/BFJP5"
85331	"10.18730/BCDZ1"	"https://ssl.fao.org/glis/doi/10.18730/BCDZ1"
85465	"10.18730/BFK5M"	"https://ssl.fao.org/glis/doi/10.18730/BFK5M"
85587	"10.18730/BFK9R"	"https://ssl.fao.org/glis/doi/10.18730/BFK9R"
85599	"10.18730/BEPX4"	"https://ssl.fao.org/glis/doi/10.18730/BEPX4"
85637	"10.18730/BF31P"	"https://ssl.fao.org/glis/doi/10.18730/BF31P"
85646	"10.18730/BF32Q"	"https://ssl.fao.org/glis/doi/10.18730/BF32Q"
85676	"10.18730/BFKGZ"	"https://ssl.fao.org/glis/doi/10.18730/BFKGZ"
85685	"10.18730/BF36V"	"https://ssl.fao.org/glis/doi/10.18730/BF36V"
85711	"10.18730/BFKP0"	"https://ssl.fao.org/glis/doi/10.18730/BFKP0"
85741	"10.18730/BFJK2"	"https://ssl.fao.org/glis/doi/10.18730/BFJK2"
85786	"10.18730/BFJXC"	"https://ssl.fao.org/glis/doi/10.18730/BFJXC"
85852	"10.18730/BFZMC"	"https://ssl.fao.org/glis/doi/10.18730/BFZMC"
85861	"10.18730/BFXEG"	"https://ssl.fao.org/glis/doi/10.18730/BFXEG"
85888	"10.18730/BFKH*"	"https://ssl.fao.org/glis/doi/10.18730/BFKH*"
85897	"10.18730/BG5A9"	"https://ssl.fao.org/glis/doi/10.18730/BG5A9"
85899	"10.18730/BFKK$"	"https://ssl.fao.org/glis/doi/10.18730/BFKK$"
86005	"10.18730/BGZ9T"	"https://ssl.fao.org/glis/doi/10.18730/BGZ9T"
86162	"10.18730/B9AM4"	"https://ssl.fao.org/glis/doi/10.18730/B9AM4"
86180	"10.18730/BAE0T"	"https://ssl.fao.org/glis/doi/10.18730/BAE0T"
86185	"10.18730/BDZW7"	"https://ssl.fao.org/glis/doi/10.18730/BDZW7"
86230	"10.18730/B6RK6"	"https://ssl.fao.org/glis/doi/10.18730/B6RK6"
86355	"10.18730/BA9N="	"https://ssl.fao.org/glis/doi/10.18730/BA9N="
86394	"10.18730/B2CB*"	"https://ssl.fao.org/glis/doi/10.18730/B2CB*"
86437	"10.18730/BE0Q$"	"https://ssl.fao.org/glis/doi/10.18730/BE0Q$"
86490	"10.18730/BE5XF"	"https://ssl.fao.org/glis/doi/10.18730/BE5XF"
86582	"10.18730/BE04F"	"https://ssl.fao.org/glis/doi/10.18730/BE04F"
86783	"10.18730/BFJZE"	"https://ssl.fao.org/glis/doi/10.18730/BFJZE"
86954	"10.18730/B7XQA"	"https://ssl.fao.org/glis/doi/10.18730/B7XQA"
87107	"10.18730/BG4HN"	"https://ssl.fao.org/glis/doi/10.18730/BG4HN"
87507	"10.18730/B4X0Q"	"https://ssl.fao.org/glis/doi/10.18730/B4X0Q"
88208	"10.18730/BEX3H"	"https://ssl.fao.org/glis/doi/10.18730/BEX3H"
88404	"10.18730/BCD07"	"https://ssl.fao.org/glis/doi/10.18730/BCD07"
88412	"10.18730/BF7GH"	"https://ssl.fao.org/glis/doi/10.18730/BF7GH"
88418	"10.18730/BFZZQ"	"https://ssl.fao.org/glis/doi/10.18730/BFZZQ"
88425	"10.18730/BF7KM"	"https://ssl.fao.org/glis/doi/10.18730/BF7KM"
88436	"10.18730/BF7PQ"	"https://ssl.fao.org/glis/doi/10.18730/BF7PQ"
88442	"10.18730/BF054"	"https://ssl.fao.org/glis/doi/10.18730/BF054"
88448	"10.18730/BF7EF"	"https://ssl.fao.org/glis/doi/10.18730/BF7EF"
88470	"10.18730/BCVDR"	"https://ssl.fao.org/glis/doi/10.18730/BCVDR"
88498	"10.18730/BEY8H"	"https://ssl.fao.org/glis/doi/10.18730/BEY8H"
88509	"10.18730/BFV3F"	"https://ssl.fao.org/glis/doi/10.18730/BFV3F"
88517	"10.18730/BF7HJ"	"https://ssl.fao.org/glis/doi/10.18730/BF7HJ"
88522	"10.18730/BF42J"	"https://ssl.fao.org/glis/doi/10.18730/BF42J"
88552	"10.18730/BF7JK"	"https://ssl.fao.org/glis/doi/10.18730/BF7JK"
88560	"10.18730/BCCZ6"	"https://ssl.fao.org/glis/doi/10.18730/BCCZ6"
88568	"10.18730/BF7MN"	"https://ssl.fao.org/glis/doi/10.18730/BF7MN"
88579	"10.18730/BEZX~"	"https://ssl.fao.org/glis/doi/10.18730/BEZX~"
88584	"10.18730/BF7NP"	"https://ssl.fao.org/glis/doi/10.18730/BF7NP"
88598	"10.18730/BF7QR"	"https://ssl.fao.org/glis/doi/10.18730/BF7QR"
88606	"10.18730/BF0GF"	"https://ssl.fao.org/glis/doi/10.18730/BF0GF"
88623	"10.18730/BF7RS"	"https://ssl.fao.org/glis/doi/10.18730/BF7RS"
88631	"10.18730/BF7ST"	"https://ssl.fao.org/glis/doi/10.18730/BF7ST"
88639	"10.18730/BF0YX"	"https://ssl.fao.org/glis/doi/10.18730/BF0YX"
88650	"10.18730/BF7TV"	"https://ssl.fao.org/glis/doi/10.18730/BF7TV"
88658	"10.18730/BF7VW"	"https://ssl.fao.org/glis/doi/10.18730/BF7VW"
88666	"10.18730/BF7XY"	"https://ssl.fao.org/glis/doi/10.18730/BF7XY"
88674	"10.18730/BF7WX"	"https://ssl.fao.org/glis/doi/10.18730/BF7WX"
88682	"10.18730/BCVES"	"https://ssl.fao.org/glis/doi/10.18730/BCVES"
88701	"10.18730/BF1ZS"	"https://ssl.fao.org/glis/doi/10.18730/BF1ZS"
88710	"10.18730/BF7YZ"	"https://ssl.fao.org/glis/doi/10.18730/BF7YZ"
88715	"10.18730/BCVFT"	"https://ssl.fao.org/glis/doi/10.18730/BCVFT"
88719	"10.18730/BF7Z*"	"https://ssl.fao.org/glis/doi/10.18730/BF7Z*"
88753	"10.18730/BFXSV"	"https://ssl.fao.org/glis/doi/10.18730/BFXSV"
88809	"10.18730/BFKCV"	"https://ssl.fao.org/glis/doi/10.18730/BFKCV"
89242	"10.18730/BEKA0"	"https://ssl.fao.org/glis/doi/10.18730/BEKA0"
89491	"10.18730/BEK3Y"	"https://ssl.fao.org/glis/doi/10.18730/BEK3Y"
89762	"10.18730/BF2YK"	"https://ssl.fao.org/glis/doi/10.18730/BF2YK"
92207	"10.18730/B2M5Q"	"https://ssl.fao.org/glis/doi/10.18730/B2M5Q"
94499	"No DOI assigned"	"No DOI assigned"
96413	"10.18730/B36AC"	"https://ssl.fao.org/glis/doi/10.18730/B36AC"
96458	"10.18730/BG4RW"	"https://ssl.fao.org/glis/doi/10.18730/BG4RW"
96495	"10.18730/B8ZPR"	"https://ssl.fao.org/glis/doi/10.18730/B8ZPR"
96501	"10.18730/BCV2D"	"https://ssl.fao.org/glis/doi/10.18730/BCV2D"
96619	"10.18730/B2M6R"	"https://ssl.fao.org/glis/doi/10.18730/B2M6R"
96638	"10.18730/BAVTR"	"https://ssl.fao.org/glis/doi/10.18730/BAVTR"
97120	"10.18730/B331J"	"https://ssl.fao.org/glis/doi/10.18730/B331J"
97127	"10.18730/BFK2H"	"https://ssl.fao.org/glis/doi/10.18730/BFK2H"
97474	"10.18730/BAFN5"	"https://ssl.fao.org/glis/doi/10.18730/BAFN5"
97487	"10.18730/B4XF1"	"https://ssl.fao.org/glis/doi/10.18730/B4XF1"
103122	"10.18730/BG554"	"https://ssl.fao.org/glis/doi/10.18730/BG554"
106657	"10.18730/B9DRY"	"https://ssl.fao.org/glis/doi/10.18730/B9DRY"
106844	"10.18730/BFK6N"	"https://ssl.fao.org/glis/doi/10.18730/BFK6N"
106875	"10.18730/BEA53"	"https://ssl.fao.org/glis/doi/10.18730/BEA53"
107017	"10.18730/BF38X"	"https://ssl.fao.org/glis/doi/10.18730/BF38X"
107052	"10.18730/BFJN4"	"https://ssl.fao.org/glis/doi/10.18730/BFJN4"
107059	"10.18730/BFJQ6"	"https://ssl.fao.org/glis/doi/10.18730/BFJQ6"
107086	"10.18730/BFJT9"	"https://ssl.fao.org/glis/doi/10.18730/BFJT9"
107103	"10.18730/BFK3J"	"https://ssl.fao.org/glis/doi/10.18730/BFK3J"
107131	"10.18730/BG4PT"	"https://ssl.fao.org/glis/doi/10.18730/BG4PT"
108014	"10.18730/BFJM3"	"https://ssl.fao.org/glis/doi/10.18730/BFJM3"
109278	"10.18730/BMNHU"	"https://ssl.fao.org/glis/doi/10.18730/BMNHU"
126114	"10.18730/BE8Z2"	"https://ssl.fao.org/glis/doi/10.18730/BE8Z2"
126136	"10.18730/D6BK6"	"https://ssl.fao.org/glis/doi/10.18730/D6BK6"
126306	"10.18730/BFZH9"	"https://ssl.fao.org/glis/doi/10.18730/BFZH9"
126308	"10.18730/BG4KQ"	"https://ssl.fao.org/glis/doi/10.18730/BG4KQ"
126309	"10.18730/BG4NS"	"https://ssl.fao.org/glis/doi/10.18730/BG4NS"
128567	"10.18730/BHYGT"	"https://ssl.fao.org/glis/doi/10.18730/BHYGT"
128843	"10.18730/BFZJA"	"https://ssl.fao.org/glis/doi/10.18730/BFZJA"
130092	"10.18730/BFZG8"	"https://ssl.fao.org/glis/doi/10.18730/BFZG8"
130562	"10.18730/BG4MR"	"https://ssl.fao.org/glis/doi/10.18730/BG4MR"
133128	"10.18730/B29RQ"	"https://ssl.fao.org/glis/doi/10.18730/B29RQ"
143009	"10.18730/BFZKB"	"https://ssl.fao.org/glis/doi/10.18730/BFZKB"
143017	"10.18730/BGQS8"	"https://ssl.fao.org/glis/doi/10.18730/BGQS8"
143023	"10.18730/BG532"	"https://ssl.fao.org/glis/doi/10.18730/BG532"
143050	"10.18730/BH9SX"	"https://ssl.fao.org/glis/doi/10.18730/BH9SX"
143058	"10.18730/BG6E8"	"https://ssl.fao.org/glis/doi/10.18730/BG6E8"
143067	"10.18730/BG510"	"https://ssl.fao.org/glis/doi/10.18730/BG510"
143808	"10.18730/BG4W*"	"https://ssl.fao.org/glis/doi/10.18730/BG4W*"
143844	"10.18730/BG4Z="	"https://ssl.fao.org/glis/doi/10.18730/BG4Z="
143989	"10.18730/BRMV3"	"https://ssl.fao.org/glis/doi/10.18730/BRMV3"
144543	"10.18730/BFZYP"	"https://ssl.fao.org/glis/doi/10.18730/BFZYP"
144554	"10.18730/BFZND"	"https://ssl.fao.org/glis/doi/10.18730/BFZND"
144568	"10.18730/BMN7T"	"https://ssl.fao.org/glis/doi/10.18730/BMN7T"
144612	"10.18730/BG01S"	"https://ssl.fao.org/glis/doi/10.18730/BG01S"
144638	"10.18730/BG05X"	"https://ssl.fao.org/glis/doi/10.18730/BG05X"
144656	"10.18730/BG06Y"	"https://ssl.fao.org/glis/doi/10.18730/BG06Y"
144826	"10.18730/BG02T"	"https://ssl.fao.org/glis/doi/10.18730/BG02T"
144862	"10.18730/BG00R"	"https://ssl.fao.org/glis/doi/10.18730/BG00R"
144880	"10.18730/BF33R"	"https://ssl.fao.org/glis/doi/10.18730/BF33R"
151004	"10.18730/D8YP1"	"https://ssl.fao.org/glis/doi/10.18730/D8YP1"
151167	"10.18730/D93SG"	"https://ssl.fao.org/glis/doi/10.18730/D93SG"
151237	"10.18730/D960D"	"https://ssl.fao.org/glis/doi/10.18730/D960D"
155008	"No DOI assigned"	"No DOI assigned"
157648	"10.18730/D6P28"	"https://ssl.fao.org/glis/doi/10.18730/D6P28"
157650	"10.18730/D6P4A"	"https://ssl.fao.org/glis/doi/10.18730/D6P4A"
159072	"10.18730/DABCS"	"https://ssl.fao.org/glis/doi/10.18730/DABCS"
159191	"10.18730/DAF3~"	"https://ssl.fao.org/glis/doi/10.18730/DAF3~"
167864	"10.18730/BH341"	"https://ssl.fao.org/glis/doi/10.18730/BH341"
168060	"10.18730/BG96P"	"https://ssl.fao.org/glis/doi/10.18730/BG96P"
168154	"10.18730/BFKQ1"	"https://ssl.fao.org/glis/doi/10.18730/BFKQ1"
168524	"10.18730/BH9VZ"	"https://ssl.fao.org/glis/doi/10.18730/BH9VZ"
168614	"10.18730/BRNAJ"	"https://ssl.fao.org/glis/doi/10.18730/BRNAJ"
168912	"10.18730/BG521"	"https://ssl.fao.org/glis/doi/10.18730/BG521"
168924	"10.18730/BG4SX"	"https://ssl.fao.org/glis/doi/10.18730/BG4SX"
168928	"10.18730/BH9HN"	"https://ssl.fao.org/glis/doi/10.18730/BH9HN"
168939	"10.18730/BG4VZ"	"https://ssl.fao.org/glis/doi/10.18730/BG4VZ"
168945	"10.18730/BH9NS"	"https://ssl.fao.org/glis/doi/10.18730/BH9NS"
168979	"10.18730/BG3R~"	"https://ssl.fao.org/glis/doi/10.18730/BG3R~"
169164	"10.18730/BG4JP"	"https://ssl.fao.org/glis/doi/10.18730/BG4JP"
169387	"10.18730/BDYN5"	"https://ssl.fao.org/glis/doi/10.18730/BDYN5"
170023	"10.18730/BFZWM"	"https://ssl.fao.org/glis/doi/10.18730/BFZWM"
170040	"10.18730/BEPAP"	"https://ssl.fao.org/glis/doi/10.18730/BEPAP"
170046	"10.18730/BDTW*"	"https://ssl.fao.org/glis/doi/10.18730/BDTW*"
170062	"10.18730/BDV43"	"https://ssl.fao.org/glis/doi/10.18730/BDV43"
170077	"10.18730/BFZSH"	"https://ssl.fao.org/glis/doi/10.18730/BFZSH"
170091	"10.18730/BDV21"	"https://ssl.fao.org/glis/doi/10.18730/BDV21"
170744	"10.18730/BRN9H"	"https://ssl.fao.org/glis/doi/10.18730/BRN9H"
170752	"10.18730/BHCC1"	"https://ssl.fao.org/glis/doi/10.18730/BHCC1"
170862	"10.18730/BFKAS"	"https://ssl.fao.org/glis/doi/10.18730/BFKAS"
172262	"10.18730/F4RRG"	"https://ssl.fao.org/glis/doi/10.18730/F4RRG"
173671	"10.18730/F4XKQ"	"https://ssl.fao.org/glis/doi/10.18730/F4XKQ"
173739	"10.18730/F4XPT"	"https://ssl.fao.org/glis/doi/10.18730/F4XPT"
174189	"10.18730/F4XBF"	"https://ssl.fao.org/glis/doi/10.18730/F4XBF"
